pop	spop	sspop	genot
1	1	1	45
1	1	1	46
1	1	1	48
1	1	1	28
1	1	1	86
1	1	1	78
1	1	1	88
1	1	1	78
1	1	1	75
1	1	1	66
1	1	2	41
1	1	2	96
1	1	2	46
1	1	2	76
1	1	2	26
1	1	2	76
1	1	2	86
1	1	2	45
1	1	2	73
1	1	2	77
1	1	2	72
1	1	2	72
1	1	3	58
1	1	3	13
1	1	3	36
1	1	3	33
1	1	3	75
1	1	3	86
1	1	3	84
1	1	3	73
1	1	3	85
1	1	3	25
1	1	3	36
1	1	3	39
1	1	3	37
1	2	4	74
1	2	4	86
1	2	4	18
1	2	4	41
1	2	4	17
1	2	4	57
1	2	4	64
1	2	5	27
1	2	5	21
1	2	5	67
1	2	5	87
1	2	5	56
1	2	5	98
1	2	5	28
1	2	5	84
1	2	5	92
1	2	5	45
1	2	5	84
1	2	6	81
1	2	6	49
1	2	6	91
1	2	6	48
1	2	6	32
1	2	7	38
1	2	7	16
1	2	7	62
1	3	8	25
1	3	8	83
1	3	8	94
1	3	8	37
1	3	8	55
1	3	8	43
1	3	8	36
1	3	8	75
1	3	8	25
1	3	8	35
2	4	9	86
2	4	10	15
2	4	10	84
2	4	10	27
2	4	11	45
2	4	11	92
2	4	11	25
2	4	11	31
2	4	11	28
2	4	12	23
2	4	12	13
2	4	12	26
2	5	13	25
2	5	13	75
2	5	13	62
2	5	13	39
2	5	13	65
2	5	13	54
2	5	13	23
2	5	13	84
2	5	13	38
2	5	13	78
2	5	13	71
2	5	13	53
2	5	13	29
2	5	13	27
2	5	14	28
2	5	14	37
2	5	14	32
2	5	14	48
2	5	14	87
2	5	14	37
2	5	14	48
2	5	14	36
2	5	14	63
2	5	14	78
2	5	14	77
2	5	15	83
2	5	15	58
2	5	15	54
2	5	15	88
2	5	15	58
2	5	15	57
2	5	15	67
2	5	15	36
2	5	15	53
2	5	15	73
2	5	16	26
2	5	16	64
2	5	16	37
2	5	16	86
2	5	16	81
2	5	16	75
2	5	16	52
2	5	16	69
2	5	16	66
2	5	16	79
2	5	16	29
2	5	16	95
2	6	17	85
2	6	17	43
2	6	17	61
2	6	17	74
2	6	18	65
2	6	18	66
2	6	19	67
2	6	19	84
2	6	19	37
2	6	19	45
2	6	19	74
2	6	19	51
2	6	19	27
2	6	19	22
2	6	19	11
2	6	19	24
2	6	19	15
2	6	19	68
2	6	19	45
3	7	20	42
3	7	20	24
3	7	20	76
3	7	20	12
3	7	20	88
3	7	20	53
3	7	20	57
3	7	20	58
3	7	20	81
3	7	20	42
3	7	20	51
3	7	20	22
3	7	20	78
4	8	21	16
4	8	21	45
4	8	22	93
4	8	22	52
4	8	22	75
4	8	22	75
4	8	22	18
4	8	23	65
4	8	23	14
4	8	23	48
4	8	23	38
4	8	23	45
4	8	23	65
4	8	23	64
4	8	23	48
4	8	23	34
4	8	24	48
4	8	24	97
4	8	24	22
4	8	24	88
4	8	24	44
4	8	24	39
4	8	24	54
4	9	25	26
4	9	25	76
4	9	25	88
4	9	25	53
4	9	25	38
4	9	25	55
4	9	25	84
4	9	25	55
4	9	25	44
4	9	25	43
4	9	25	42
4	9	25	74
4	9	25	54
4	10	26	53
4	10	26	58
4	10	26	79
4	10	26	32
4	10	26	67
4	10	26	56
4	10	26	81
4	11	27	95
4	11	27	74
4	11	28	68
4	11	28	35
4	11	28	63
4	11	28	26
4	11	28	34
4	11	28	23
4	11	28	34
4	11	28	14
4	11	28	96
4	11	28	77
4	11	28	85
4	11	28	15
4	11	29	57
4	11	29	47
4	11	30	56
4	11	30	35
4	11	30	42
4	11	30	48
4	11	30	86
4	11	30	66
4	11	30	72
4	11	30	46
4	11	30	17
4	11	31	17
4	11	31	98
